date;hour;dayAheadPrice
2016-01-27;'17 - 18;28,93
2016-01-28;'17 - 18;39,05
2016-01-29;'17 - 18;27,43
2016-01-30;'17 - 18;18,67
2016-01-31;'17 - 18;21,44
2016-01-25;'18 - 19;36,33
2016-01-26;'18 - 19;29,27
2016-01-27;'18 - 19;30,98
2016-01-28;'18 - 19;46,02
2016-01-29;'18 - 19;25,99
2016-01-30;'18 - 19;27,78
2016-01-31;'18 - 19;26,28
2016-01-25;'19 - 20;31,96
2016-01-26;'19 - 20;24,94
2016-01-27;'19 - 20;29,07
2016-01-28;'19 - 20;36,56
2016-01-29;'19 - 20;25,18
2016-01-30;'19 - 20;22,16
2016-01-31;'19 - 20;25,48
2016-01-25;'20 - 21;26,8
2016-01-26;'20 - 21;23,17
2016-01-27;'20 - 21;21,5
2016-01-28;'20 - 21;32,12
2016-01-29;'20 - 21;21,11
2016-01-30;'20 - 21;18,53
2016-01-31;'20 - 21;21,34
2016-01-25;'21 - 22;25,32
2016-01-26;'21 - 22;21,66
2016-01-27;'21 - 22;19,06
2016-01-28;'21 - 22;27,45
2016-01-29;'21 - 22;17,08
2016-01-30;'21 - 22;16,21
2016-01-31;'21 - 22;18,04
2016-01-25;'22 - 23;23,93
2016-01-26;'22 - 23;20,24
2016-01-27;'22 - 23;16,34
2016-01-28;'22 - 23;26,31
2016-01-29;'22 - 23;14,6
2016-01-30;'22 - 23;15,49
2016-01-31;'22 - 23;18,79
2016-01-25;'23 - 24;18,11
2016-01-26;'23 - 24;13,43
2016-01-27;'23 - 24;13,96
2016-01-28;'23 - 24;20,79
2016-01-29;'23 - 24;10,29
2016-01-30;'23 - 24;12,0
2016-01-31;'23 - 24;16,45
2016-02-01;'00 - 01;16,31
2016-02-02;'00 - 01;4,06
2016-02-03;'00 - 01;13,75
2016-02-04;'00 - 01;18,04
2016-02-05;'00 - 01;24,61
2016-02-06;'00 - 01;18,18
2016-02-07;'00 - 01;5,01
2016-02-01;'01 - 02;14,42
2016-02-02;'01 - 02;0,3
2016-02-03;'01 - 02;11,58
2016-02-04;'01 - 02;16,38
2016-02-05;'01 - 02;23,0
2016-02-06;'01 - 02;15,55
2016-02-07;'01 - 02;5,98
2016-02-01;'02 - 03;15,07
2016-02-02;'02 - 03;-2,66
2016-02-03;'02 - 03;8,09
2016-02-04;'02 - 03;15,99
2016-02-05;'02 - 03;22,22
2016-02-06;'02 - 03;16,01
2016-02-07;'02 - 03;5,62
2016-02-01;'03 - 04;13,27
2016-02-02;'03 - 04;-1,92
2016-02-03;'03 - 04;6,93
2016-02-04;'03 - 04;15,29
2016-02-05;'03 - 04;20,1
2016-02-06;'03 - 04;14,33
2016-02-07;'03 - 04;3,05
2016-02-01;'04 - 05;13,87
